Temps;Canal A;Canal B
(ms);(V);(V)

-28,13400593;1,45390200;5,09384400
-28,09304593;1,45390200;5,09384400
-28,05208593;1,49800100;5,09384400
-28,01112593;1,49800100;5,09384400
-27,97016593;1,49800100;5,09384400
-27,92920593;1,54210000;5,09384400
-27,88824593;1,54210000;5,09384400
-27,84728593;1,58620000;5,09384400
-27,80632593;1,58620000;5,09384400
-27,76536593;1,63029900;5,09384400
-27,72440593;1,63029900;5,09384400
-27,68344593;1,63029900;5,09384400
-27,64248593;1,63029900;5,09384400
-27,60152593;1,67439800;5,09384400
-27,56056593;1,71849700;5,09384400
-27,51960593;1,71849700;5,09384400
-27,47864593;1,71849700;5,09384400
-27,43768593;1,71849700;5,09384400
-27,39672593;1,76259600;5,09384400
-27,35576593;1,76259600;5,09384400
-27,31480594;1,80669600;5,09384400
-27,27384594;1,80669600;5,09384400
-27,23288594;1,80669600;5,09384400
-27,19192594;1,80669600;5,09384400
-27,15096594;1,85079500;5,09384400
-27,11000594;1,85079500;5,09384400
-27,06904594;1,89489400;5,09384400
-27,02808594;1,89489400;5,09384400
-26,98712594;1,93899300;5,09384400
-26,94616594;1,93899300;5,09384400
-26,90520594;1,93899300;5,09384400
-26,86424594;1,98309300;5,09384400
-26,82328594;1,98309300;5,09384400
-26,78232594;1,98309300;5,09384400
-26,74136594;1,98309300;5,09384400
-26,70040594;1,93899300;5,09384400
-26,65944594;1,93899300;5,09384400
-26,61848594;1,89489400;5,09384400
-26,57752594;1,89489400;5,09384400
-26,53656594;1,89489400;5,09384400
-26,49560594;1,85079500;5,09384400
-26,45464594;1,85079500;5,09384400
-26,41368594;1,80669600;5,09384400
-26,37272594;1,80669600;5,09384400
-26,33176594;1,80669600;5,09384400
-26,29080594;1,80669600;5,09384400
-26,24984594;1,76259600;5,09384400
-26,20888594;1,76259600;5,09384400
-26,16792594;1,71849700;5,09384400
-26,12696594;1,71849700;5,09384400
-26,08600594;1,71849700;5,09384400
-26,04504594;1,67439800;5,09384400
-26,00408594;1,67439800;5,09384400
-25,96312594;1,63029900;5,09384400
-25,92216594;1,63029900;5,09384400
-25,88120594;1,63029900;5,09384400
-25,84024594;1,63029900;5,09384400
-25,79928594;1,58620000;5,09384400
-25,75832594;1,58620000;5,09384400
-25,71736594;1,58620000;5,09384400
-25,67640594;1,54210000;5,09384400
-25,63544595;1,49800100;5,09384400
-25,59448595;1,49800100;5,09384400
-25,55352595;1,45390200;5,09384400
-25,51256595;1,45390200;5,09384400
-25,47160595;1,45390200;5,09384400
-25,43064595;1,45390200;5,09384400
-25,38968595;1,40965000;5,09384400
-25,34872595;1,40965000;5,09384400
-25,30776595;1,40965000;5,09384400
-25,26680595;1,36555100;5,09384400
-25,22584595;1,36555100;5,09384400
-25,18488595;1,36555100;5,09384400
-25,14392595;1,32145100;5,09384400
-25,10296595;1,27735200;5,09384400
-25,06200595;1,27735200;5,09384400
-25,02104595;1,27735200;5,09384400
-24,98008595;1,27735200;5,09384400
-24,93912595;1,27735200;5,09384400
-24,89816595;1,27735200;5,09384400
-24,85720595;1,23325300;5,09384400
-24,81624595;1,23325300;5,09384400
-24,77528595;1,18915400;5,09384400
-24,73432595;1,18915400;5,09384400
-24,69336595;1,14505400;5,09384400
-24,65240595;1,10095500;5,09384400
-24,61144595;1,10095500;5,09384400
-24,57048595;1,10095500;5,09384400
-24,52952595;1,10095500;5,09384400
-24,48856595;1,10095500;5,09384400
-24,44760595;1,05685600;5,09384400
-24,40664595;1,05685600;5,00442500
-24,36568595;1,05685600;4,91500600
-24,32472595;1,01275700;4,82558700
-24,28376595;0,96865750;4,73616700
-24,24280595;0,96865750;4,73616700
-24,20184595;0,92455820;4,64674800
-24,16088595;0,92455820;4,55732900
-24,11992595;0,92455820;4,46791000
-24,07896595;0,88045900;4,37849000
-24,03800595;0,88045900;4,28907100
-23,99704596;0,88045900;4,28907100
-23,95608596;0,83635970;4,10992800
-23,91512596;0,83635970;4,10992800
-23,87416596;0,79226050;4,02050800
-23,83320596;0,79226050;3,84167000
-23,79224596;0,79226050;3,75225100
-23,75128596;0,74816130;3,75225100
-23,71032596;0,74816130;3,66283200
-23,66936596;0,74816130;3,57341200
-23,62840596;0,74816130;3,48399300
-23,58744596;0,70390940;3,48399300
-23,54648596;0,65981020;3,39457400
-23,50552596;0,65981020;3,30515500
-23,46456596;0,65981020;3,21543000
-23,42360596;0,65981020;3,12601100
-23,38264596;0,61571090;3,03659200
-23,34168596;0,61571090;2,94717200
-23,30072596;0,61571090;2,85775300
-23,25976596;0,57161170;2,76833400
-23,21880596;0,52751240;2,67891500
-23,17784596;0,52751240;2,67891500
-23,13688596;0,52751240;2,58949500
-23,09592596;0,48341320;2,50007600
-23,05496596;0,48341320;2,50007600
-23,01400596;0,48341320;2,32093300
-22,97304596;0,43931390;2,23151400
-22,93208596;0,43931390;2,14209400
-22,89112596;0,39521470;2,05267500
-22,85016596;0,39521470;1,96325600
-22,80920596;0,39521470;1,96325600
-22,76824596;0,39521470;1,87383700
-22,72728596;0,35111550;1,78441700
-22,68632596;0,35111550;1,69499800
-22,64536596;0,30701620;1,60557900
-22,60440596;0,30701620;1,51616000
-22,56344596;0,30701620;1,51616000
-22,52248596;0,26291700;1,33701600
-22,48152596;0,26291700;1,24759700
-22,44056596;0,21881770;1,24759700
-22,39960596;0,21881770;1,15817700
-22,35864597;0,21881770;1,06875800
-22,31768597;0,21881770;0,88991980
-22,27672597;0,17471850;0,88991980
-22,23576597;0,17471850;0,80050050
-22,19480597;0,13061920;0,71108130
-22,15384597;0,13061920;0,62166200
-22,11288597;0,13061920;0,53224280
-22,07192597;0,08651997;0,44282360
-22,03096597;0,04242073;0,44282360
-21,99000597;0,04242073;0,35340430
-21,94904597;0,04242073;0,26398510
-21,90808597;0,04242073;0,08514664
-21,86712597;0,04242073;0,08514664
-21,82616597;-0,00167852;-0,00427259
-21,78520597;-0,00167852;-0,00427259
-21,74424597;0,04242073;0,08514664
-21,70328597;0,04242073;0,17456590
-21,66232597;0,04242073;0,26398510
-21,62136597;0,08651997;0,35340430
-21,58040597;0,08651997;0,44282360
