Temps;Canal A;Canal B
(ms);(V);(V)

-17,30913518;1,80669600;2,68974900
-17,28865518;1,80669600;2,68974900
-17,26817518;1,80669600;2,68974900
-17,24769518;1,80669600;2,68974900
-17,22721518;1,80669600;2,73461100
-17,20673518;1,80669600;2,73461100
-17,18625518;1,80669600;2,73461100
-17,16577518;1,85079500;2,77947300
-17,14529518;1,85079500;2,77947300
-17,12481518;1,85079500;2,77947300
-17,10433518;1,85079500;2,77947300
-17,08385518;1,89489400;2,82433600
-17,06337518;1,89489400;2,86904500
-17,04289518;1,89489400;2,82433600
-17,02241518;1,89489400;2,86904500
-17,00193518;1,89489400;2,86904500
-16,98145518;1,89489400;2,91390700
-16,96097518;1,93899300;2,91390700
-16,94049518;1,93899300;2,91390700
-16,92001518;1,93899300;2,91390700
-16,89953518;1,93899300;2,91390700
-16,87905518;1,93899300;2,91390700
-16,85857518;1,93899300;2,91390700
-16,83809518;1,98309300;2,95877000
-16,81761518;1,98309300;2,95877000
-16,79713518;1,98309300;2,95877000
-16,77665518;1,98309300;2,95877000
-16,75617518;1,98309300;2,95877000
-16,73569518;1,98309300;2,95877000
-16,71521518;1,93899300;2,95877000
-16,69473518;1,93899300;2,91390700
-16,67425518;1,93899300;2,91390700
-16,65377518;1,93899300;2,91390700
-16,63329518;1,93899300;2,91390700
-16,61281518;1,89489400;2,86904500
-16,59233518;1,89489400;2,86904500
-16,57185518;1,89489400;2,86904500
-16,55137518;1,89489400;2,86904500
-16,53089518;1,85079500;2,82433600
-16,51041518;1,89489400;2,82433600
-16,48993518;1,85079500;2,77947300
-16,46945518;1,85079500;2,77947300
-16,44897518;1,85079500;2,77947300
-16,42849518;1,80669600;2,77947300
-16,40801518;1,85079500;2,77947300
-16,38753518;1,80669600;2,73461100
-16,36705518;1,80669600;2,73461100
-16,34657518;1,80669600;2,73461100
-16,32609518;1,80669600;2,73461100
-16,30561518;1,80669600;2,68974900
-16,28513518;1,76259600;2,68974900
-16,26465518;1,76259600;2,64488700
-16,24417518;1,76259600;2,64488700
-16,22369518;1,76259600;2,60017700
-16,20321518;1,76259600;2,60017700
-16,18273518;1,71849700;2,60017700
-16,16225518;1,71849700;2,60017700
-16,14177518;1,71849700;2,60017700
-16,12129518;1,71849700;2,60017700
-16,10081518;1,71849700;2,55531500
-16,08033518;1,71849700;2,55531500
-16,05985518;1,71849700;2,55531500
-16,03937518;1,71849700;2,55531500
-16,01889518;1,67439800;2,51045300
-15,99841519;1,67439800;2,51045300
-15,97793519;1,67439800;2,51045300
-15,95745519;1,63029900;2,46559000
-15,93697519;1,63029900;2,46559000
-15,91649519;1,63029900;2,46559000
-15,89601519;1,63029900;2,42072800
-15,87553519;1,63029900;2,42072800
-15,85505519;1,63029900;2,42072800
-15,83457519;1,63029900;2,42072800
-15,81409519;1,63029900;2,37601900
-15,79361519;1,58620000;2,37601900
-15,77313519;1,58620000;2,37601900
-15,75265519;1,58620000;2,37601900
-15,73217519;1,54210000;2,33115600
-15,71169519;1,54210000;2,33115600
-15,69121519;1,58620000;2,33115600
-15,67073519;1,54210000;2,28629400
-15,65025519;1,54210000;2,28629400
-15,62977519;1,49800100;2,28629400
-15,60929519;1,49800100;2,24143200
-15,58881519;1,49800100;2,24143200
-15,56833519;1,49800100;2,24143200
-15,54785519;1,49800100;2,24143200
-15,52737519;1,49800100;2,24143200
-15,50689519;1,45390200;2,19657000
-15,48641519;1,45390200;2,19657000
-15,46593519;1,45390200;2,19657000
-15,44545519;1,45390200;2,19657000
-15,42497519;1,45390200;2,19657000
-15,40449519;1,45390200;2,15170700
-15,38401519;1,40965000;2,15170700
-15,36353519;1,40965000;2,10699800
-15,34305519;1,45390200;2,15170700
-15,32257519;1,40965000;2,06213600
-15,30209519;1,40965000;2,06213600
-15,28161519;1,40965000;2,06213600
-15,26113519;1,36555100;2,06213600
-15,24065519;1,36555100;2,06213600
-15,22017519;1,36555100;2,06213600
-15,19969519;1,36555100;2,01727300
-15,17921519;1,32145100;2,01727300
-15,15873519;1,32145100;2,01727300
-15,13825519;1,32145100;2,01727300
-15,11777519;1,32145100;1,97241100
-15,09729519;1,27735200;1,97241100
-15,07681519;1,32145100;1,97241100
-15,05633519;1,32145100;1,97241100
